"mojitoClassic","cocktail mojito classic","cocktail","3500.0",421,"3.0","sucreCan","0.04","kamel","0.1","spriteP","0.11",,,,
"sexAple","cocktail sex apple","cocktail","2500.0",250,"1.0","jus1L","0.25",,,,,,,,
"tgvNA","cocktail TGV non alcoolisé","cocktail","2500.0",288,"2.0","sTamarin","0.5","sGinger1L","0.05",,,,,,
"tropical","cocktal NA tropical","cocktail","2500.0",200,"1.0","jus1L","0.2",,,,,,,,
"punchCaraib","cocktail punch caraibénne","cocktail","2500.0",431,"2.0","jus1L","0.2","sirop1L","0.1",,,,,,
"sandwich","sandwich","cuisine","2000.0",742,"2.0","painSandw","1.0","filetBoeuf","0.5",,,,,,
"siropC","1 conso de sirop ","conso","1000.0",115,"1.0","sirop1L","0.05",,,,,,,,
"gingerC","un verre de gingembre dilué","conso","1000.0",75,"1.0","sGinger1L","0.05",,,,,,,,
"glenB12C","conso glenfiddich 12 ans ","conso","5000.0",2800,"1.0","glenB12L","0.08",,,,,,,,
"tgv3","tequila, grenatdine, vodka","cocktail","3000.0",918,"3.0","stoli","0.07","sirop1L","0.03","agavita","0.07",,,,
"toiMoi","cocktail toi et moi","cocktail","3500.0",676,"3.0","stRemyVSOP","0.07","sirop1L","0.1","sGinger1L","0.05",,,,
"patNoire","1 portion de patte noire","cuisine","1000.0",153,"1.0","farinePatNoire","1.0",,,,,,,,
"hennessyVSC","1 conso hennessy vs","conso","5000.0",2072,"1.0","hennessyVS","0.11",,,,,,,,
"pachucaC","1 conso de Pachuca","conso","2500.0",478,"1.0","pachuca","0.07",,,,,,,,
"redLabC","1 conso de red label","conso","3000.0",442,"1.0","redLab75","0.08",,,,,,,,
"baileysC","1 conso de baileys","conso","2500.0",527,"1.0","baileys","0.07",,,,,,,,
"jackC","1 conso de jack daniels","conso","3000.0",877,"1.0","jack","0.08",,,,,,,,
"martiniRC","1 conso martini rouge","conso","2000.0",321,"1.0","martiniR","0.06",,,,,,,,
"crepe","un plat de crepe","cuisine","1000.0",83,"1.0","oeuf","1.0",,,,,,,,
"absentaC","1 conso de absenta","conso","2000.0",495,"1.0","absenta","0.07",,,,,,,,
"malibuOrange","cocktail malibu avec du jus","cocktail","3000.0",534,"2.0","jus1L","0.2","malibu","0.07",,,,,,
"pinkMiami","1 cocktail pinkmiami","cocktail","2500.0",396,"2.0","jus1L","0.05","sirop1L","0.15",,,,,,
"planteur","cocktail planteur","cocktail","2500.0",511,"2.0","sirop1L","0.2","jus1L","0.05",,,,,,
"tgv1","cocktail tgv1","cocktail","3000.0",1238,"3.0","agavita","0.07","gordons","0.07","stoli","0.07",,,,
"sirop1V","sirop","sirop","2000.0",461,"1.0","sirop1L","0.2",,,,,,,,
"gordonsC","1 conso de gordons","conso","2500.0",445,"1.0","gordons","0.08",,,,,,,,
"assokui","sauce légume","cuisine","4000.0",1182,"5.0","agneauOs","0.5","wangache","1.0","poissonFume","1.0","crabe","1.0","agbama","1.0"
"amour","cocktail Amour","cocktail","3000.0",351,"1.0","stJamesR","0.05",,,,,,,,
"haieVive","cocktail haie vive","cocktail","3500.0",1284,"3.0","tripleSec","0.07","grdMarnier","0.07","orangeSec","0.07",,,,
"tvg1","cocktail tgv1","cocktail","3000.0",1338,"3.0","pachuca","0.07","gordons","0.07","stoli","0.07",,,,
"vinB1V","un verre de vin blanc","vinRouge","0.0",903,"1.0","chretBM","0.25",,,,,,,,
"sandwViande","sandwich avec viande de boeuf","cuisine","2000.0",1284,"2.0","filetBoeuf","1.0","painSandw","1.0",,,,,,
