jelzin,vodka jelzin 70cl,diversAlcool,0.0
savoy,vodka savoy ,diversAlcool,0.0
stoli,vodka stolichnaya 70cl,diversAlcool,0.0
smirnof,vodka smirnof,diversAlcool,0.0
agavita,tequila agavita,diversAlcool,0.0
tBlanc,tequila blanc 70cl,diversAlcool,0.0
tChoco,tequila chocolat,diversAlcool,0.0
pachuca,tequila pachuca 70cl,diversAlcool,0.0
sanjoseS,tequila sanjose silver,diversAlcool,0.0
stPaul,rhum saint paul 70cl,diversAlcool,0.0
stJamesB,rhum saint james blanc 1L,diversAlcool,0.0
stJamesR,rhum saint james rouge 1L,diversAlcool,0.0
kamel,rhum kamel 70cl,diversAlcool,0.0
tripleSec,liqueur triple sec 70cl,diversAlcool,0.0
ricard,liqueur ricard,diversAlcool,0.0
suze,liqueur suze,diversAlcool,0.0
bottega,liqueur bottega 70cl,diversAlcool,0.0
campari,liqueur campari 1L,diversAlcool,0.0
baileys,baileys,diversAlcool,0.0
orangeSec,orange sec ,diversAlcool,0.0
martiniB,martini blanc 1L,diversAlcool,0.0
martiniR,martini rouge,diversAlcool,0.0
martiniRo,martini rosé,diversAlcool,0.0
malibu,malibu,diversAlcool,0.0
litchiL,liqueur litchi,diversAlcool,0.0
mangPaL,liqueur mangue passion,diversAlcool,0.0
brizL,liqueur marie brizard mp,diversAlcool,0.0
grants,liqueur grants,diversAlcool,0.0
Get27,Get 27,diversAlcool,0.0
disaronno,disaronno,diversAlcool,0.0
diplomatico,rhum diplomatico,diversAlcool,0.0
cointreau,liqueur cointreau,diversAlcool,0.0
sCassis,sirop de cassis,sirop,0.0
sCanne,sirop de canne,sirop,0.0
absenta,absenta,diversAlcool,0.0
lait,lait 1L,lait,0.0
jAnanas,jus ananas 1L,jus,0.0
jBanane,jus banane 1L,jus,0.0
jRaisin,jus raisin 1L,jus,0.0
jOrange,jus orange 1L,jus,0.0
jPomme,jus pomme 1L,jus,0.0
jGoyave,jus goyave 1L,jus,0.0
jMangue,jus mangue 1L,jus,0.0
jPamplem,jus pamplemousse 1L,jus,0.0
sBanane,sirop banane 1L,sirop,0.0
sFraise,sirop fraise 1L,sirop,0.0
sGrenadine,sirop grenadine 1L,sirop,0.0
sGinger1L,sirop gingembre 1 L,sirop,0.0
sMenthe,sirop menthe 1L,sirop,0.0
sPeche,sirop pêche 1L,sirop,0.0
sTamarin,sirop tamarin 1 L,sirop,0.0
jTamarin25,jus tamarin 25cl,jus,0.0
sPassion,sirop passion,sirop,0.0
sPamplem,sirop pamplemousse 1L,sirop,0.0
sTomate,sirop tomate 1L,sirop,0.0
cHabano,cigare cohiba habano,cigare,0.0
cHabanoCM,cigare habano cm,cigare,0.0
cHoyo,cigare cohiba hoyo,cigare,0.0
chicha,chicha,chicha,0.0
lagaBrut1.5L,lagache brut M 1.5L,champagne,0.0
lagaPrestD1.5L,lagache prestige d1.5L,champagne,0.0
moetB1.5L,moet brut 1.5L,champagne,0.0
lagaBrutRes,lagache brut réservée ,champagne,0.0
lagaNatB,lagache nature blanc,champagne,0.0
lagaRo,lagache rosée,champagne,0.0
laurentPer,laurent perrier,champagne,0.0
lucBelRo,luc bellaire rosé,champagne,0.0
moetBrut,moet brut simple,champagne,0.0
moetIceImp,moet ice impérial ,champagne,0.0
moetRo,moet rosé,champagne,0.0
toso,toso,champagne,0.0
princessFr,princesse de france,champagne,0.0
remyTresBrut,remy trésor brut,champagne,0.0
ruinBlBl,ruinart blanc de blanc,champagne,0.0
ruinRo,ruinart rosé,champagne,0.0
ruinBrut,ruinart brut,champagne,0.0
champNA,champagne non alcoolisé,champagne,0.0
champNARo,champagne non alcoolisé rosé,champagne,0.0
perrier,perrier 33cl,eau,0.0
cafeSac,sachet de café,boissonChaude,1000.0
cafeCap,café en capsule,boissonChaude,1000.0
agneauOs,viande agneau avec os,cuisine,0.0
agneau,viande agneau sans os,cuisine,5000.0
atieke,atiéké une portion,cuisine,1000.0
calamar,calamar une portion,cuisine,0.0
blancPoulet,blanc de poulet une portion,cuisine,0.0
viandeH,viande hachée une portion,cuisine,0.0
oeuf,un oeuf,cuisine,0.0
crevette,1 portion de crevette,cuisine,0.0
poisson,1 portion de poisson,cuisine,0.0
boeuf,1 portion de boeuf,cuisine,0.0
frite,1 portion de frites,cuisine,1000.0
wangache,1 portion de wangache,cuisine,0.0
langueB,1 portion de langue de boeuf,cuisine,0.0
gateauRiz,1 portion gateau de riz,cuisine,0.0
viandeNem,1 portion de viande pour nems,cuisine,0.0
merguez,1 portion merguez,cuisine,0.0
pintade,1 portion de pintade,cuisine,4000.0
poulet,1 portion de poulet,cuisine,0.0
pouletBi,1 portie de poulet bicyclette,cuisine,0.0
riz,1 portion de riz,cuisine,0.0
rizCant,1 portion de riz cantonais,cuisine,0.0
boyau,1 portion de boyau,cuisine,0.0
spagh,1 portion de spaghettis,cuisine,1000.0
painSandw,1 portion de pain pour sandwich,cuisine,0.0
painHamb,1 portion de pain hamburger,cuisine,0.0
painChaw,1 portion de pain chawarma,cuisine,0.0
viandeChaw,viande pour chawarma,cuisine,0.0
fromage,fromage en tranche,cuisine,0.0
thon,1 portion de thon,cuisine,0.0
maisDoux,1 portion de maïs doux,cuisine,0.0
petitPois,1 portion de petit pois,cuisine,0.0
filetBoeuf,1 portion de filet de boeuf,cuisine,4000.0
darnePoisson,darne de poisson,cuisine,4000.0
filetPoisson,filet de poisson,cuisine,4000.0
emincePoulet,emincée de poulet,cuisine,4000.0
gordons,bout gordons,diversAlcool,20000.0
gesier,1 portion de gesier,cuisine,0.0
gambas,1 portion de gambas,cuisine,0.0
viandeBro,1 portion de boeuf pour 1 brochette,cuisine,0.0
lipton,1 sachet de lipton,boissonChaude,0.0
mais300G,"maïs doux, boite de 300g",cuisine,0.0
eminceP,un émince de poulet,cuisine,0.0
sucreCan,bout sucre de canne 0.7L,diversAlcool,0.0
jus1L,1 L jus,jus,0.0
jusCaraf,caraffe de jus,conso,2500.0
sirop1L,bout sirop,sirop,0.0
théCitron,1 thé de citron,boissonChaude,1500.0
farinePatNoire,1 kg de farine pour patte noire,cuisine,0.0
podere,bout de podere,diversAlcool,25000.0
molinari,bout de molinari,diversAlcool,25000.0
yeniRaki,bout de yeni raki,diversAlcool,25000.0
langueBoeuf,1 portion de langue de boeuf,cuisine,4000.0
cappuccino,1 tasse de cappuccino,boissonChaude,1500.0
laitCoco,une boite de lait de coco,cocktail,0.0
grdMarnier,bout grand marnier,diversAlcool,0.0
granitierBM,admirable granitier blanc moelleux,vinBlanc,15000.0
chastR,chastagnac  cabernet sauvignon,vinRouge,15000.0
chastMerl,chastagnac merlot,vinRouge,15000.0
trouillard,champagne trouillard,champagne,60000.0
verreMousCC,1/14 bout vin mousseux,conso,2500.0
poissonFume,poisson fumé,cuisine,0.0
haussMerl,haussmann merlot rouge,vinRouge,15000.0
haussCabS,haussmann cabernet sauvignon,vinRouge,15000.0
pain,pain pour soupe,cuisine,500.0
patRouge,portion de pate rouge,cuisine,1000.0
farineRouge,farine pour patte rouge,cuisine,0.0
attieke,une portion de attieke,cuisine,1000.0
pommeKG,pomme en kg,cuisine,0.0
jbRes,bout de jb réserve 15 ans,whisky,60000.0
agbama,une portion de agbama,cuisine,0.0
fereix,champagne fereixnet prosecco,champagne,40000.0
chatMarl,bout chateau marlène,vinRouge,12000.0
picnicR,vin rouge picnic,vinRouge,12000.0
alexanderGreat,vin rouge alexander the great,vinRouge,12000.0
crabe,portion de crabe,cuisine,0.0
gadgetStval,"coffret, coeur petit et grand",gadgetsEvent,0.0
chatFerboy,chateau Ferboy,vinRouge,15000.0
seigneurieEnclos,seigneurie de l'enclos 2015,vinRouge,20000.0
cadiot,cadiot 2016,vinRouge,30000.0
leBellevue,Le Belleue,vinRouge,12000.0
loireMarchaisCab,Loire Marchais Cabernet Franc,vinRouge,12000.0
cotLayon,coteaux du Layon,vinBlanc,25000.0
muscadetAntique,muscadet antiqe,vinBlanc,15000.0
messidor,messidor,vinBlanc,25000.0
bePink,cannette de vin rosé Be Pink,vinRosé,2500.0
farinePateBlanche,farine pour pate blanche,cuisine,1000.0
pateRouge,pate rouge,cuisine,1000.0
chretBM,chretienne blanc moelleux,vinBlanc,15000.0
tilapiaG,poisson tilapia,cuisine,5000.0
tilapiaM,poisson tilapia moyen,cuisine,4000.0
pouletCuisse,cuisses de poulet ,cuisine,3000.0
redLab75,red label 0.75 L,whisky,30000.0
vodkaPoliakov,vodka poliakov,diversAlcool,20000.0
affinity,champagne sans alcool,champagne,30000.0
cointreau350,cointreau 350 cl,diversAlcool,0.0
akassan,akassan,cuisine,1000.0
cuisPoulet,une portion de cuisse de poulet braisée,cuisine,4000.0
piron,plat de piron,cuisine,1000.0
saladeFruit,plat salade de fruit,cuisine,2000.0
tOnOffHecho,bout tequilla on off hecho 70 cl,diversAlcool,20000.0
chevalierLand,chevalier Landerac bx sup,vinRouge,20000.0
puissantEleg,puissant et elegant cabSauv,vinRouge,15000.0
gadget,tshirt,gadgetsEvent,5000.0
vodkaKavenina,vodka,diversAlcool,20000.0
monsBordRo,monsieur Bordeaux rosé,vinRosé,20000.0
