DONNÉES;data2

Wed 13 Jan 2021

ARTICLES INVENTORIÉS
CODE;DÉSIGNATION;MIN;STOCK;PA;;PV

BIÈRE
cuisPoulet;une portion de cuisse de poulet braisée;0;0;0;V;4000
piron;plat de piron;0;0;0;V;1000
saladeFruit;plat salade de fruit;0;0;0;V;2000
farineBle;farine de blé ;0;0;0;V;0
haricotV;haricot vert;0;0;0;V;1000
sauceBlokoto;sauce de blokoto;0;0;0;V;5000

DIVERSALCOOL
bols;vodka bols 70cl;0;0;0;V;0
boris;vodka boris;0;0;0;V;0
jelzin;vodka jelzin 70cl;0;0;0;V;0
savoy;vodka savoy ;0;0;0;V;0
stoli;vodka stolichnaya 70cl;0;0;0;V;0
smirnof;vodka smirnof;0;0;0;V;0
agavita;tequila agavita;0;0;0;V;0
tBlanc;tequila blanc 70cl;0;0;0;V;0
tChoco;tequila chocolat;0;0;0;V;0
pachuca;tequila pachuca 70cl;0;0;0;V;0
sanjoseS;tequila sanjose silver;0;0;0;V;0
stPaul;rhum saint paul 70cl;0;0;0;V;0
stJamesB;rhum saint james blanc 1L;0;0;0;V;0
stJamesR;rhum saint james rouge 1L;0;0;0;V;0
kamel;rhum kamel 70cl;0;0;0;V;0
tripleSec;liqueur triple sec 70cl;0;0;0;V;0
ricard;liqueur ricard;0;0;0;V;0
suze;liqueur suze;0;0;0;V;0
bottega;liqueur bottega 70cl;0;0;0;V;0
campari;liqueur campari 1L;0;0;0;V;0
baileys;baileys;0;0;0;V;0
orangeSec;orange sec ;0;0;0;V;0
martiniB;martini blanc 1L;0;0;0;V;0
martiniR;martini rouge;0;0;0;V;0
martiniRo;martini rosé;0;0;0;V;0
malibu;malibu;0;0;0;V;0
litchiL;liqueur litchi;0;0;0;V;0
mangPaL;liqueur mangue passion;0;0;0;V;0
brizL;liqueur marie brizard mp;0;0;0;V;0
grants;liqueur grants;0;0;0;V;0
get27;Get 27;0;0;0;V;0
disaronno;disaronno;0;0;0;V;0
diplomatico;rhum diplomatico;0;0;0;V;0
cointreau;liqueur cointreau;0;0;0;V;0
absenta;absenta;0;0;0;V;0
gordons;bout gordons;0;0;0;V;20000
sucreCan;bout sucre de canne 0.7L;0;0;0;V;0
podere;bout de podere;0;0;0;V;25000
molinari;bout de molinari;0;0;0;V;25000
yeniRaki;bout de yeni raki;0;0;0;V;25000
grdMarnier;bout grand marnier;0;0;0;V;0
vodkaPoliakov;vodka poliakov;0;0;0;V;20000
cointreau350;cointreau 350 cl;0;0;0;V;0
tOnOffHecho;bout tequilla on off hecho 70 cl;0;0;0;V;20000
vodkaKavenina;vodka;0;0;0;V;20000
tElCobrizo;tequila el cobrizo;0;0;0;V;20000
droitBouchon;droit de bouchon;0;0;0;V;10000
vodkaFili;vodka filirt;0;0;0;V;20000

EAU
eau;eau 50cl;0;0;0;V;1000
eau1.5;eau 1.5L;0;0;0;V;2000
eauGaz;eau gazefiee 50cl;0;0;0;V;1000
perrier;perrier 33cl;0;0;0;V;0

GADGETSEVENT
gadgetStval;coffret, coeur petit et grand;0;0;0;V;0
gadget;tshirt;0;0;0;V;5000

JUS
jAnanas;jus ananas 1L;0;0;0;V;0
