TRAÇAGE

Mon 08 Jun 2020
> Sun 21 Jun 2020

DATE,ENREGISTREMENT

Sat 20 Jun 2020 (16:09),achat n° 003 / erevan / 29 dec 2019 / total : 1200 / baseX
Sat 20 Jun 2020 (09:49),achat n° 002 / erevan / 30 dec 2019 / total : 2800 / baseX
Sat 20 Jun 2020 (09:35),vente  / 20 jun 2020 / total : 40000 / baseX
Sat 20 Jun 2020 (09:30),ajout article composé / irish / Irish Coffee / baseX
Sat 20 Jun 2020 (09:19),vente  / 20 jun 2020 / total : 120000 / baseX
Sat 20 Jun 2020 (09:13),achat n° 002 / erevan / 20 Jun 2020 / total : 14000 / baseX
Sat 20 Jun 2020 (09:12),achat n° 002 / erevan / 20 jun 2020 / total : 14990 / baseX
Sat 20 Jun 2020 (09:01),ajout article / expres / café expresso / baseX
