INVENTAIRE;data3

Sun 17 Jan 2021

CODE;DÉSIGNATION;TH.;PHYSIQUE

BIÈRE
stPaul;rhum saint paul 70cl;0
stoli;vodka stolichnaya 70cl;0
sucreCan;bout sucre de canne 0.7L;0
suze;liqueur suze;0
tBlanc;tequila blanc 70cl;0
tChoco;tequila chocolat;0
tElCobrizo;tequila el cobrizo;0
tOnOffHecho;bout tequilla on off hecho 70 cl;0
tripleSec;liqueur triple sec 70cl;0
vodkaFili;vodka filirt;0
vodkaKavenina;vodka;0
vodkaPoliakov;vodka poliakov;0
yeniRaki;bout de yeni raki;0

EAU
eau;eau 50cl;0
eau1.5;eau 1.5L;0
eauGaz;eau gazefiee 50cl;0
perrier;perrier 33cl;0

GADGETSEVENT
gadget;tshirt;0
gadgetStval;coffret, coeur petit et grand;0

JUS
jAnanas;jus ananas 1L;0
jBanane;jus banane 1L;0
jGoyave;jus goyave 1L;0
jMangue;jus mangue 1L;0
jOrange;jus orange 1L;0
jPamplem;jus pamplemousse 1L;0
jPomme;jus pomme 1L;0
jRaisin;jus raisin 1L;0
jTamarin25;jus tamarin 25cl;0
jus1L;1 L jus;0

LAIT
lait;lait 1L;0

SIROP
sBanane;sirop banane 1L;0
sCanne;sirop de canne;0
sCassis;sirop de cassis;0
sFraise;sirop fraise 1L;0
sGinger1L;sirop gingembre 1 L;0
sGrenadine;sirop grenadine 1L;0
sMenthe;sirop menthe 1L;0
sPamplem;sirop pamplemousse 1L;0
sPassion;sirop passion;0
sPeche;sirop pêche 1L;0
sTamarin;sirop tamarin 1 L;0
sTomate;sirop tomate 1L;0
sirop1L;bout sirop;0

SODA
coca;coca 33cl;0
cocaSS;cannette de coca sans sucre;0
sprite;sprite;0
spriteP;sprite plastique 33cl;0
tonic;tonic 33cl;0

VERRECASSE
verreBW;verre a bierre ou wisky;0
verreCV;verre à vin casse;0

VINBLANC
baumeB;bout dom baume blanc;0
chastSauvB;bout chastagnac Sauvignon blanc;0
chretBM;chretienne blanc moelleux;0
cotLayon;coteaux du Layon;0
granitierBM;granitier blanc moelleux;0
haussB;bout haussmann blanc;0
luisEsB;bout luis esch blanc;0
marBernB;bout marquis bern blanc;0
marsanB;bout chat marsan blanc;0
messidor;messidor;0
monbazB;bout monbazillac blanc;0
muscadetAntique;muscadet antiqe;0
premius;vin blanc Premius;0
rocheMazB;bout roche mazet blanc;0
taraniB;bout tarani blanc;0
taraniBM;tarani blanc Moeulleux;0

VINMOUSSEUX
celeneCRBrut;bouteil de vin mouseux;0
coolR;bouteille de vin mousseux;0
cremAlsM;bou crément Alsace mousseux;0
jourSpB;bout journée spéciale blanc;0
jourSpRo;bout journée spéciale rosée;0
jpB;bout jp chenet blanc;0
jpRo;bout jp chenet rosé;0
jpRo1.5;jp chenet rosé 1.5 L;0
martiPeRo;bout martini pétillant rosé;0
musca;bout muscador mousseux;0
prosecco;bouteil de vin mousseux;0

VINROSÉ
bePink;cannette de vin rosé Be Pink;0
calend;bout les calendières vin rosé;0
chastSyRo;bout chastagnac syrah rosé;0
haussSyRo;haussmann Syrah Rosé;0
monsBordRo;monsieur Bordeaux rosé;0
rocheMazRo;bout roche mazet rosé;0
taraniRo;bout tarani rosé;0

VINROUGE
alexanderGreat;vin rouge alexander the great;0
armEmil;bout armes royales st emilion rouge;0
balast;bout haut balastard rouge;0
baumeR;bout domaine de la baume rouge;0
bordEru;bout bordeaux sup eru rouge;0
bouey;bout maison bouey rouge;0
cadiot;cadiot 2016;0
calvetRes;bout calvet grde reserve rouge;0
carilloR;bouteille de vin rouge carillonade;0
chastMerl;chastagnac merlot;0
chastR;chastagnac  cabernet sauvignon;0
chatBelAir;chateau Bel Air;0
chatCol;bout chateau colombier rouge;0
chatFer;bout chateau ferrande rouge;0
chatFerboy;chateau Ferboy;0
chatGrandJardin;vin rouge chat grand jardin;0
chatHautRoulet;chateau Haut Roulet;0
chatMarl;bouteille chateau marlene;0
chatMartin;bout chateau haut st martin rouge;0
chatMoinesMen;chateau moines menodin;0
chateauLary;chateau lary;0
chevalierLand;chevalier Landerac bx sup;0
chretMerl;bout chretienne merlot rouge;0
chretR;bout chretienne rouge;0
fiolePap;bout fiole pape rouge;0
gPalais;bout grand palais rouge;0
gPuch;bout grand puch rouge;0
grandNoir;bout le grd noir ;0
hMedoc;bout le haut medoc rouge;0
haussCabS;haussmann cabernet sauvignon;0
haussCabSauv;haussmann cabernet sauvignon;0
haussMerl;haussmann merlot rouge;0
haussR;bout haussmann rouge;0
leBellevue;Le Belleue;0
loireMarchaisCa;Cabernet Loire Marchais;0
luisEsR;bout luis eschenauer rouge;0
