DONNÉES,baseC

Sun 05 Jul 2020

ARTICLES EN VENTE
CODE,DÉSIGNATION,PV
escalopoulet,escalope de poulet,4000
farineBle,farine de blé ,0
farinePatNoire,1 kg de farine pour patte noire,0
farinePateBlanche,farine pour pate blanche,1000
farineRouge,farine pour patte rouge,0
filetBoeuf,1 portion de filet de boeuf,4000
filetBoeufSauP,filet de boeuf sauce piquante,4000
filetPoisson,filet de poisson,4000
filetPoissonSc,filet poisson sauce creme,5000
filetPoissons,plat filet de poisson,4000
frite,1 portion de frites,1000
fromage,fromage en tranche,0
gambas,1 portion de gambas,0
gateauRiz,1 portion gateau de riz,0
gbekuin,légume,4000
gesier,1 portion de gesier,0
hamburger,hamburger,2000
haricotV,haricot vert,1000
langueB,1 portion de langue de boeuf,0
langueBoeuf,1 portion de langue de boeuf,4000
legumeSaut,1 portion de légume sauté,1000
mais300G,"maïs doux, boite de 300g",0
maisDoux,1 portion de maïs doux,0
merguez,1 portion merguez,0
miniBroBoeuf,1 plat de 4 mini broch de boeuf,0
miniBroMergez,mini brochette mergez,2000
nemBoeuf,1 portion de 4 nems de boeuf,2000
nemPoulet,nems de poulet,2000
oeuf,un oeuf,0
omelFromage,omelette au fromage,2500
omelNature,omelette nature,1500
pain,pain pour soupe,500
painChaw,1 portion de pain chawarma,0
painHamb,1 portion de pain hamburger,0
painSandw,1 portion de pain pour sandwich,0
patNoire,1 portion de patte noire,1000
patRouge,portion de pate rouge,1000
patRouges,patte rouge,1000
pateBlanche,portion de pate blanche,1000
pateRouge,pate rouge,1000
pateRougeB,pate rouge,1000
petitPois,1 portion de petit pois,0
petitPois*,plat de petit pois,2000
petitPois1,plat petit pois,1000
pintade,1 portion de pintade,4000
piron,plat de piron,1000
poisson,1 portion de poisson,0
poissonFume,poisson fumé,0
pommeKG,pomme en kg,0
pommeSaute,portion de pomme,1000
poulet,1 portion de poulet,0
pouletBi,1 portie de poulet bicyclette,0
pouletBraise,poulet braisé,2500
pouletCuisse,cuisses de poulet ,3000
purePomme,purée de pomme,1000
riz,1 portion de riz,0
rizCant,1 portion de riz cantonais,0
rizCanto,riz cantonais,1000
rizCantonais,riz cantonai,10000
saladeAvoCrevette,salade avocat au crevette,4000
saladeAvoPoulet,salade avocat au poulet,3000
saladeCompo,salade compose,6000
saladeCrudite,salade de crudité,2500
saladeFruit,plat salade de fruit,2000
saladeMixte,salade mixte,3000
saladePoulet,salade au poulet,3000
saladePouletBi,salade au poulet bicyclette,4500
saladeTGV,salade tgv,3000
sandwPoulet,sandwich de poulet,2000
sandwSteak,sandwich steak,2500
sandwViande,sandwich avec viande de boeuf,2000
sandwich,sandwich,2000
sandwichTGV,sandwich TGV,2500
sauceArachide,sauce arachide,5000
sauceBlokoto,sauce de blokoto,5000
sauceCreme,sauceCreme,4000
sauceCrinCrin,sauce crincrin,5000
sauceGombo,sauce de gombo,5000
soupeBoyau,soupe de boyau,5000
soupePoisson,soupe de poisson,4000
spagBolo,spaghetti bolognaise,4000
spagh,1 portion de spaghettis,1000
steakChamp,steak au champignon,4000
thon,1 portion de thon,0
tilapiaG,poisson tilapia,5000
tilapiaM,poisson tilapia moyen,4000
trioBroBoeuf,trio brochette de boeuf,4000
trioBroPoisson,trio brochette de poisson,7500
trioBroPoulet,trio brochette de poulet,4000
trioBromerguez,trio brochette de merguez,4000
viandeBro,1 portion de boeuf pour 1 brochette,0
viandeChaw,viande pour chawarma,0
viandeH,viande hachée une portion,0
viandeNem,1 portion de viande pour nems,0
wangache,1 portion de wangache,0

DIVERSALCOOL
absenta,absenta,0
agavita,tequila agavita,0
baileys,baileys,0
bols,vodka bols 70cl,0
boris,vodka boris,0
bottega,liqueur bottega 70cl,0
brizL,liqueur marie brizard mp,0
campari,liqueur campari 1L,0
cointreau,liqueur cointreau,0
cointreau350,cointreau 350 cl,0
cointreauC,conso cointreau,2500
diplomatico,rhum diplomatico,0
disaronno,disaronno,0
droitBouchon,droit de bouchon,10000
get27,Get 27,0
gordons,bout gordons,20000
grants,liqueur grants,0
grdMarnier,bout grand marnier,0
jelzin,vodka jelzin 70cl,0
kamel,rhum kamel 70cl,0
litchiL,liqueur litchi,0
malibu,malibu,0
mangPaL,liqueur mangue passion,0
martiniB,martini blanc 1L,0
martiniR,martini rouge,0
martiniRo,martini rosé,0
molinari,bout de molinari,25000
orangeSec,orange sec ,0
pachuca,tequila pachuca 70cl,0
podere,bout de podere,25000
ricard,liqueur ricard,0
sanjoseS,tequila sanjose silver,0
savoy,vodka savoy ,0
smirnof,vodka smirnof,0
stJamesB,rhum saint james blanc 1L,0
stJamesR,rhum saint james rouge 1L,0
stPaul,rhum saint paul 70cl,0
stoli,vodka stolichnaya 70cl,0
sucreCan,bout sucre de canne 0.7L,0
suze,liqueur suze,0
tBlanc,tequila blanc 70cl,0
tBlancC,conso tequila blanco,2500
tChoco,tequila chocolat,0
tElCobrizo,tequila el cobrizo,20000
tOnOffHecho,bout tequilla on off hecho 70 cl,20000
tripleSec,liqueur triple sec 70cl,0
vodkaFili,vodka filirt,20000
vodkaKavenina,vodka,20000
vodkaPoliakov,vodka poliakov,20000
yeniRaki,bout de yeni raki,25000

EAU
eau,eau 50cl,1000
eau1.5,eau 1.5L,2000
eauGaz,eau gazefiee 50cl,1000
perrier,perrier 33cl,0

GADGETSEVENT
gadget,tshirt,5000
gadgetStval,"coffret, coeur petit et grand",0

JUS
jAnanas,jus ananas 1L,0
jBanane,jus banane 1L,0
jGoyave,jus goyave 1L,0
jMangue,jus mangue 1L,0
jOrange,jus orange 1L,0
jPamplem,jus pamplemousse 1L,0
jPomme,jus pomme 1L,0
jRaisin,jus raisin 1L,0
jTamarin25,jus tamarin 25cl,0
jus1L,1 L jus,0

LAIT
lait,lait 1L,0

SIROP
sBanane,sirop banane 1L,0
sCanne,sirop de canne,0
sCassis,sirop de cassis,0
sFraise,sirop fraise 1L,0
sGinger1L,sirop gingembre 1 L,0
sGrenadine,sirop grenadine 1L,0
sMenthe,sirop menthe 1L,0
