ARTICLES;data6

Sat 12 Jun 2021

CODE;DÉSIGNATION;STOCK_MIN;STOCK;EN VENTE;PA;PV

BIÈRE
redLabC;1 conso de red label;0;compo;V;459;5000
ricardC;1 conso de ricard;0;compo;V;479;2000
sGinger1V;verre de sirop ginger;0;compo;V;147;1000
sanjoseSC;conso de sanjose;0;compo;V;595;2000
siropC;1 conso de sirop ;0;compo;V;120;1000
stJamesBC;conso st james Blanc;0;compo;V;454;4000
stJamesRC;conso saint James;0;compo;V;421;4000
stoliC;conso stoli;0;compo;V;420;4000
suzeC;conso de suze;0;compo;V;364;4000
tripleSecC;conso de triple sec;0;compo;V;214;4000
verreMousCC;1/14 bout vin mousseux;0;0;V;0;2500
verreMoussCC;1/14 vin mousseux;0;compo;V;492;2500
vinR1V;un verre de vin rouge;0;compo;V;896;5000
willC;conso bout de william;0;compo;V;382;5000

CUISINE
agbama;une portion de agbama;0;0;V;0;0
agneau;viande agneau sans os;0;14;V;1169;5000
agneauOs;viande agneau avec os;0;33;V;1119;0
agneauSauce;agneau sauce arachide;0;compo;V;1119;0
agneauSauté;agneau sauté;0;compo;V;1119;0
akassan;akassan;0;3;V;100;1000
alloco;1 portion de alloco;0;compo;V;0;1000
assokui;sauce légume;;compo;V;1370;5000
atieke;atiéké une portion;0;0;V;0;1000
attieke;une portion de attieke;0;2;V;250;1000
beignetCrevet;Beignets de crevettes;;compo;V;1466;0
blancPoulet;blanc de poulet une portion;0;3;V;586;0
boeuf;1 portion de boeuf;0;0;V;0;0
boyau;1 portion de boyau;0;65;V;664;5000
broBoeuf;une brochette de boeuf;0;compo;V;486;4000
broMerguez;brochette de merguez;0;compo;V;585;2000
broMixte;mini brochette mixte;0;compo;V;1072;2000
broPoisson;1 portion darne de poisson;0;compo;V;1169;5000
broPoulet;1 brochette de poulet;0;compo;V;293;2000
calamar;calamar une portion;0;0;V;0;0
chawPoulet;chawarma poulet;0;compo;V;564;3000
chawTGV;chawarma tgv;0;compo;V;1200;3000
chawViande;chawarma de viande;0;compo;V;757;3000
cheeseBurger;cheese burger;0;compo;V;1412;2500
chickenBurg;chicken burger;0;compo;V;1969;3000
choucMouton;choucouya de mouton;0;compo;V;1169;3000
choucPoule;choucouyta de poulet;0;compo;V;586;2500
choucPoulet;choucouya de poulet;0;compo;V;586;2000
crabe;portion de crabe;0;52;V;249;0
crepe;un plat de crepe;0;compo;V;83;1000
crevette;1 portion de crevette;0;86;V;1383;5000
cuisPoulet;cuisse de poulet braisée;0;0;V;0;4000
cuissPoulet;cuisse de poulet;0;compo;V;0;4000
darnePoisson;darne de poisson;0;34.5;V;1128;4000
doubleHamb;double hamburger;0;compo;V;2571;4000
duoBroBoeuf;duo brochette boeuf;0;compo;V;973;4000
duoBroMerguez;duo brochette merguez;0;compo;V;1170;4000
duoBroPoulet;duo brochette au poulet;0;compo;V;586;4000
eggCheese;egg cheese burger;;compo;V;2060;3500
eminceBoeufSc;emince boeuf sauce creme;0;compo;V;973;5000
eminceP;un émince de poulet;0;0;V;0;0
emincePoul;emincé de poulet;0;compo;V;586;4000
emincePoule;emincé de poulet;0;compo;V;586;4000
emincePoulet;emincée de poulet;0;0;V;0;4000
escalPoulet;escalope de poulet;;compo;V;586;5000
escalPouletSC;escalope de poulet sauce creme;;compo;V;912;4000
farineBle;farine de blé;0;0;-;0;0
farinePatNoire;1 kg farine pate noire;0;0;-;0;0
farinePateBlanc;farine pour pate blanche;0;16;-;11;0
farineRouge;farine pour patte rouge;0;0;-;0;0
filetBoeuf;1 portion de filet de boeuf;0;21.5;V;973;5000
filetBoeufSauP;filet de boeuf sauce piquante;;compo;V;973;5000
filetPoisson;filet de poisson;0;0;V;0;5000
filetPoissonSc;filet poisson sauce creme;0;compo;V;1169;5000
filetPoissons;plat filet de poisson;0;compo;V;1169;5000
frite;1 portion de frites;0;308;V;243;1000
fromage;fromage en tranche;0;0;V;565;0
gambas;1 portion de gambas;0;9;V;2709;12000
gateauRiz;1 portion gateau de riz;0;3;V;10;0
gbekuin;légume;;compo;V;1370;5000
gesier;1 portion de gesier;0;1;V;500;0
hamburger;hamburger;0;compo;V;968;2000
haricotV;haricot vert;0;0;V;0;1000
langueB;1 portion de langue de boeuf;0;3;V;1800;0
langueBoeuf;1 portion de langue de boeuf;0;36;V;1356;5000
legumeSaut;1 portion de légume sauté;0;compo;V;0;1000
mais300G;maïs doux, boite de 300g;0;23;V;358;0
maisDoux;1 portion de maïs doux;0;3;V;400;0
merguez;1 portion merguez;0;78;V;585;0
miniBroBoeuf;1 plat de 4 mini broch de boeuf;0;compo;V;486;0
miniBroMergez;mini brochette mergez;0;compo;V;585;4000
nemBoeuf;1 portion de 4 nems de boeuf;0;compo;V;385;2000
nemPoulet;nems de poulet;0;compo;V;586;2000
oeuf;un oeuf;0;1;V;83;0
omelFromage;omelette au fromage;0;compo;V;1296;2500
omelNature;omelette nature;0;compo;V;166;1500
pain;pain pour soupe;0;0;V;0;500
painChaw;1 portion de pain chawarma;0;0;V;149;0
