DONNÉES,baseC

Sat 04 Jul 2020

ARTICLES INVENTORIÉS
CODE,DÉSIGNATION,,PV,MIN

BIÈRE
litchiL,liqueur litchi,V,0,0
malibu,malibu,V,0,0
mangPaL,liqueur mangue passion,V,0,0
martiniB,martini blanc 1L,V,0,0
martiniR,martini rouge,V,0,0
martiniRo,martini rosé,V,0,0
molinari,bout de molinari,V,25000,0
orangeSec,orange sec ,V,0,0
pachuca,tequila pachuca 70cl,V,0,0
podere,bout de podere,V,25000,0
ricard,liqueur ricard,V,0,0
sanjoseS,tequila sanjose silver,V,0,0
savoy,vodka savoy ,V,0,0
smirnof,vodka smirnof,V,0,0
stJamesB,rhum saint james blanc 1L,V,0,0
stJamesR,rhum saint james rouge 1L,V,0,0
stPaul,rhum saint paul 70cl,V,0,0
stoli,vodka stolichnaya 70cl,V,0,0
sucreCan,bout sucre de canne 0.7L,V,0,0
suze,liqueur suze,V,0,0
tBlanc,tequila blanc 70cl,V,0,0
tChoco,tequila chocolat,V,0,0
tElCobrizo,tequila el cobrizo,V,20000,0
tOnOffHecho,bout tequilla on off hecho 70 cl,V,20000,0
tripleSec,liqueur triple sec 70cl,V,0,0
vodkaFili,vodka filirt,V,20000,0
vodkaKavenina,vodka,V,20000,0
vodkaPoliakov,vodka poliakov,V,20000,0
yeniRaki,bout de yeni raki,V,25000,0

EAU
eau,eau 50cl,V,1000,0
eau1.5,eau 1.5L,V,2000,0
eauGaz,eau gazefiee 50cl,V,1000,0
perrier,perrier 33cl,V,0,0

GADGETSEVENT
gadget,tshirt,V,5000,0
gadgetStval,"coffret, coeur petit et grand",V,0,0

JUS
jAnanas,jus ananas 1L,V,0,0
jBanane,jus banane 1L,V,0,0
jGoyave,jus goyave 1L,V,0,0
jMangue,jus mangue 1L,V,0,0
jOrange,jus orange 1L,V,0,0
jPamplem,jus pamplemousse 1L,V,0,0
jPomme,jus pomme 1L,V,0,0
jRaisin,jus raisin 1L,V,0,0
jTamarin25,jus tamarin 25cl,V,0,0
jus1L,1 L jus,V,0,0

LAIT
lait,lait 1L,V,0,0

SIROP
sBanane,sirop banane 1L,V,0,0
sCanne,sirop de canne,V,0,0
sCassis,sirop de cassis,V,0,0
sFraise,sirop fraise 1L,V,0,0
sGinger1L,sirop gingembre 1 L,V,0,0
sGrenadine,sirop grenadine 1L,V,0,0
sMenthe,sirop menthe 1L,V,0,0
sPamplem,sirop pamplemousse 1L,V,0,0
sPassion,sirop passion,V,0,0
sPeche,sirop pêche 1L,V,0,0
sTamarin,sirop tamarin 1 L,V,0,0
sTomate,sirop tomate 1L,V,0,0
sirop1L,bout sirop,V,0,0

SODA
coca,coca 33cl,V,1000,0
cocaSS,cannette de coca sans sucre,V,2000,0
sprite,sprite,V,1000,0
spriteP,sprite plastique 33cl,V,0,0
tonic,tonic 33cl,V,1000,0

VERRECASSE
verreBW,verre a bierre ou wisky,V,2000,0
verreCV,verre à vin casse,V,2000,0

VINBLANC
baumeB,bout dom baume blanc,V,0,0
chastSauvB,bout chastagnac Sauvignon blanc,V,0,0
chretBM,chretienne blanc moelleux,V,15000,0
cotLayon,coteaux du Layon,V,25000,0
granitierBM,admirable granitier blanc moelleux,V,15000,0
haussB,bout haussmann blanc,V,0,0
luisEsB,bout luis esch blanc,V,0,0
marBernB,bout marquis bern blanc,V,0,0
marsanB,bout chat marsan blanc,V,0,0
messidor,messidor,V,25000,0
monbazB,bout monbazillac blanc,V,0,0
muscadetAntique,muscadet antiqe,V,15000,0
premius,vin blanc Premius,V,25000,0
rocheMazB,bout roche mazet blanc,V,0,0
taraniB,bout tarani blanc,V,15000,0
taraniBM,tarani blanc Moeulleux,V,15000,0

VINMOUSSEUX
celeneCRBrut,bouteil de vin mouseux,V,25000,0
coolR,bouteille de vin mousseux,V,15000,0
cremAlsM,bou crément Alsace mousseux,V,0,0
jourSpB,bout journée spéciale blanc,V,0,0
