BILAN ANNUEL 2020;;;;
;;;;
data6;;;;
;;;;
Wed 01 Jan 2020;;;;
> Thu 31 Dec 2020;;;;
;;;;
RÉSULTATS GLOBAUX;;;;
;;;;
farineRouge;0;0;0;0
filetBoeuf;0;0;123,5;973
filetPoisson;0;0;0;0
frite;0;0;485,5;243
fromage;0;0;3;565
gambas;0;0;12;2709
gateauRiz;0;0;3;10
gesier;0;0;1;500
haricotV;0;0;0;0
langueB;0;0;3;1800
langueBoeuf;0;0;47;1356
mais300G;0;0;25,5;358
maisDoux;0;0;3;400
merguez;0;0;209;585
oeuf;0;0;17;83
pain;0;0;0;0
painChaw;0;0;53;149
painHamb;0;0;29;253
painSandw;0;0;10;306
patRouge;0;0;0;0
pateRouge;0;0;0;0
petitPois;0;0;9;575
pintade;0;0;0;0
piron;0;0;0;0
poisson;0;0;129;1169
poissonFume;0;0;54;222
pommeKg;0;0;0;0
poulet;0;0;73;912
pouletBi;0;0;167;981
pouletCuisse;0;0;0;0
riz;0;0;250;193
rizCant;0;0;0;0
saladeFruit;0;0;0;0
sauceBlokoto;0;0;0;0
spagh;0;0;22,25;122
thon;0;0;10;434
tilapiaG;0;0;1;1279
tilapiaM;0;0;3;857
viandeBro;0;0;0;0
viandeChaw;0;0;3;500
viandeH;0;0;128;594
viandeNem;0;0;44;385
wangache;0;0;46;339
;;;;
DIVERSALCOOL;;;;
absenta;0;0;8,65;7021
agavita;0;0;0;0
baileys;0;0;0;0
bols;0;0;3;3330
boris;0;0;0;0
bottega;0;0;0;0
brizL;0;0;0;0
campari;0;0;0;0
cointreau;0;0;4;12038
cointreau350;0;0;3;16668
diplomatico;0;0;0;0
disaronno;0;0;1;20000
droitBouchon;0;0;0;0
get27;0;0;3;3333
gordons;0;0;4,8;11095
grants;0;0;0;0
grdMarnier;0;0;0,02;14200
jelzin;0;0;0;0
kamel;0;0;5,12;2549
litchiL;0;0;3;2300
malibu;0;0;0,44;4759
mangPaL;0;0;1;2300
martiniB;0;0;0,08;6425
martiniR;0;0;6,22;5336
martiniRo;0;0;6;2558
molinari;0;0;0;0
orangeSec;0;0;3,02;4445
pachuca;0;0;0;0
podere;0;0;0;0
ricard;0;0;1,7;7978
sanjoseS;0;0;1;8500
savoy;0;0;3;3042
smirnof;0;0;0;0
stJamesB;0;0;5,14;7561
stJamesR;0;0;2,05;7010
stPaul;0;0;0;0
stoli;0;0;6,55;5997
sucreCan;0;0;16,17;1796
suze;0;0;2,4;6061
tBlanc;0;0;3;4408
tChoco;0;0;0;0
tElCobrizo;0;0;0;0
tOnOffHecho;0;0;0;0
tripleSec;0;0;2,02;3060
vodkaFili;0;0;3;3450
vodkaKavenina;0;0;0;0
vodkaPoliakov;0;0;7;2667
yeniRaki;0;0;0;0
;;;;
EAU;;;;
eau;0;0;379;124
eau1.5;0;0;215;192
eauGaz;0;0;37;283
perrier;0;0;19;574
;;;;
GADGETSEVENT;;;;
gadget;0;0;0;0
gadgetStval;0;0;0;0
;;;;
JUS;;;;
jAnanas;0;0;0;0
jBanane;0;0;0;0
jGoyave;0;0;0;0
jMangue;0;0;0;0
jOrange;0;0;1;835
jPamplem;0;0;2;1000
jPomme;0;0;0;0
jRaisin;0;0;0;0
jTamarin25;0;0;3;278
jus1L;0;0;124,15;859
;;;;
LAIT;;;;
lait;0;0;0;0
;;;;
SIROP;;;;
sBanane;0;0;0;0
sCanne;0;0;0;0
sCassis;0;0;0;0
sFraise;0;0;0;0
sGinger1L;0;0;56,7;1469
sGrenadine;0;0;0;0
sMenthe;0;0;0;0
sPamplem;0;0;0;0
sPassion;0;0;0;0
sPeche;0;0;0;0
sTamarin;0;0;0;0
sTomate;0;0;0;0
sirop1L;0;0;0,21;2390
;;;;
SODA;;;;
coca;0;0;452;186
cocaSS;0;0;0;0
sprite;0;0;246;188
spriteP;0;0;80,18;109
tonic;0;0;0;0
;;;;
VERRECASSE;;;;
verreBW;0;0;0;0
verreCV;0;0;0;0
;;;;
