BILAN;;;;
;;;;
data6T;;;;
;;;;
Wed 25 May 2022;;;;
> Wed 25 May 2022;;;;
;;;;
RÉSULTATS GLOBAUX;;;;
;;;;
filetBoeuf;0;973;0;973
filetPoisson;0;0;0;0
frite;99,5;243;99,5;243
fromage;0;565;0;565
gambas;5;2709;5;2709
gateauRiz;3;10;3;10
gesier;1;500;1;500
haricotV;0;0;0;0
langueB;3;1800;3;1800
langueBoeuf;19;1356;19;1356
mais300G;25;358;25;358
maisDoux;3;400;3;400
merguez;0;585;0;585
oeuf;0;83;0;83
pain;0;0;0;0
painChaw;0;149;0;149
painHamb;0;253;0;253
painSandw;0;306;0;306
patRouge;0;0;0;0
pateRouge;0;0;0;0
petitPois;0;575;0;575
pintade;0;0;0;0
piron;0;0;0;0
poisson;0;1169;0;1169
poissonFume;8;222;8;222
pommeKg;0;0;0;0
poulet;35;912;35;912
pouletBi;68;981;68;981
pouletCuisse;0;0;0;0
riz;83;193;83;193
rizCant;0;0;0;0
saladeFruit;0;0;0;0
sauceBlokoto;0;0;0;0
spagh;7,25;122;7,25;122
thon;7,5;434;7,5;434
tilapiaG;0;1279;0;1279
tilapiaM;1;857;1;857
viandeBro;0;0;0;0
viandeChaw;3;500;3;500
viandeH;99;594;99;594
viandeNem;30;385;30;385
wangache;0;339;0;339
;;;;
DIVERSALCOOL;;;;
absenta;8,65;7021;8,65;7021
agavita;0;0;0;0
baileys;0;0;0;0
bols;3;3330;3;3330
boris;0;0;0;0
bottega;0;0;0;0
brizL;0;0;0;0
campari;0;0;0;0
cointreau;4;12038;4;12038
cointreau350;3;16668;3;16668
diplomatico;0;0;0;0
disaronno;1;20000;1;20000
droitBouchon;0;0;0;0
get27;3;3333;3;3333
gordons;3,8;11095;3,8;11095
grants;0;0;0;0
grdMarnier;0,02;14200;0,02;14200
jelzin;0;0;0;0
kamel;3,7;2549;3,7;2549
litchiL;3;2300;3;2300
malibu;0,16;4756;0,16;4756
mangPaL;1;2300;1;2300
martiniB;0,08;6425;0,08;6425
martiniR;6,16;5336;6,16;5336
martiniRo;6;2558;6;2558
molinari;0;0;0;0
orangeSec;3,02;4445;3,02;4445
pachuca;0;0;0;0
podere;0;0;0;0
ricard;1,7;7978;1,7;7978
sanjoseS;1;8500;1;8500
savoy;3;3042;3;3042
smirnof;0;0;0;0
stJamesB;5,09;7561;5,09;7561
stJamesR;2;7010;2;7010
stPaul;0;0;0;0
stoli;6,48;5997;6,48;5997
sucreCan;15,42;1796;15,42;1796
suze;2,4;6061;2,4;6061
tBlanc;2;4408;2;4408
tChoco;0;0;0;0
tElCobrizo;0;0;0;0
tOnOffHecho;0;0;0;0
tripleSec;1,95;3060;1,95;3060
vodkaFili;3;3450;3;3450
