BILAN;;;;
;;;;
data6;;;;
;;;;
Fri 01 Jan 2021;;;;
> Sun 31 Jan 2021;;;;
;;;;
RÉSULTATS GLOBAUX;;;;
;;;;
RECETTES;2851500;;;
ACHATS;310320;;;
VARIATION DE STOCK;-261268;;;
MARGE BRUTE;2279911;;;
CHARGES;0;;;
RÉSULTAT NET;2279912;;;
MARGE NETTE;80%;;;
;;;;
RÉSULTATS SELON CATÉGORIE;;;;
;;;;
BIÈRE;;;;
Quantité vendue;812;;;
Recette;1568500;;;
Marge brute;1203596;;;
;;;;
BOISSONCHAUDE;;;;
Quantité vendue;3;;;
Recette;4000;;;
Marge brute;3856;;;
;;;;
CHAMPAGNE;;;;
Quantité vendue;0;;;
Recette;0;;;
Marge brute;0;;;
;;;;
CHICHA;;;;
Quantité vendue;0;;;
Recette;0;;;
Marge brute;0;;;
;;;;
CIGARE;;;;
Quantité vendue;0;;;
Recette;0;;;
Marge brute;0;;;
;;;;
COCKTAIL;;;;
Quantité vendue;2;;;
Recette;5500;;;
Marge brute;4474;;;
;;;;
COGNAC;;;;
Quantité vendue;0;;;
Recette;0;;;
Marge brute;0;;;
;;;;
CONSO;;;;
Quantité vendue;0;;;
Recette;0;;;
Marge brute;0;;;
;;;;
CUISINE;;;;
Quantité vendue;46;;;
Recette;137500;;;
Marge brute;97954;;;
;;;;
DIVERSALCOOL;;;;
Quantité vendue;0;;;
Recette;0;;;
Marge brute;0;;;
;;;;
EAU;;;;
Quantité vendue;280;;;
Recette;343000;;;
Marge brute;290537;;;
;;;;
GADGETSEVENT;;;;
Quantité vendue;0;;;
Recette;0;;;
Marge brute;0;;;
;;;;
JUS;;;;
Quantité vendue;0;;;
Recette;0;;;
Marge brute;0;;;
;;;;
LAIT;;;;
Quantité vendue;0;;;
Recette;0;;;
Marge brute;0;;;
;;;;
SIROP;;;;
Quantité vendue;0;;;
Recette;0;;;
Marge brute;0;;;
;;;;
SODA;;;;
Quantité vendue;480;;;
Recette;707000;;;
Marge brute;617069;;;
;;;;
VERRECASSE;;;;
Quantité vendue;0;;;
Recette;0;;;
Marge brute;0;;;
;;;;
VINBLANC;;;;
Quantité vendue;0;;;
Recette;0;;;
Marge brute;0;;;
;;;;
VINMOUSSEUX;;;;
Quantité vendue;0;;;
Recette;0;;;
Marge brute;0;;;
;;;;
VINROSÉ;;;;
Quantité vendue;0;;;
Recette;0;;;
Marge brute;0;;;
;;;;
VINROUGE;;;;
Quantité vendue;3;;;
Recette;42000;;;
Marge brute;32070;;;
;;;;
WHISKY;;;;
Quantité vendue;1;;;
Recette;40000;;;
Marge brute;27240;;;
;;;;
ÉNERGÉTIQUE;;;;
Quantité vendue;2;;;
