DONNÉES;data6T

Wed 16 Jun 2021

CATÉGORIES
bière
boissonChaude
champagne
chicha
cigare
cocktail
cognac
conso
cuisine
diversAlcool
eau
gadgetsEvent
jus
lait
sirop
soda
verreCasse
vinBlanc
vinMousseux
vinRosé
vinRouge
whisky
énergétique

ARTICLES INVENTORIÉS
CODE;DÉSIGNATION;STOCK MIN;PA;;PV
calvaVSOP;calvados vsop 70cl;0;0;V;80000
camusVS;camus vs 70cl;0;21000;V;80000
hennessyVS;hennessy vs 70cl;0;19982;V;55000
hennessyVSOP;hennessy vsop;0;29704;V;60000
stRemyVSOP;saint remy vsop 70cl;0;5298;V;20000
camusVSOP;bout camus VSOP;0;22950;V;90000
comteJoseph;comte Joseph;0;0;V;110000
comteJosephHA;comte Joseph Hors Age;0;0;V;120000
comteJosephVS;comte Joseph VS;0;0;V;55000
hennessyVSOP1L;hennessy vsop 1L;0;0;V;135000
hennessyVS1L;bouteille 1L hennessyVS;0;0;V;70000

CONSO
jusCaraf;caraffe de jus;0;0;V;2500
verreMousCC;1/14 bout vin mousseux;0;0;V;2500

CUISINE
agneauOs;viande agneau avec os;0;1119;V;0
agneau;viande agneau sans os;0;1169;V;5000
atieke;atiéké une portion;0;0;V;1000
calamar;calamar une portion;0;0;V;0
blancPoulet;blanc de poulet une portion;0;586;V;0
viandeH;viande hachée une portion;0;594;V;0
oeuf;un oeuf;0;83;V;0
crevette;1 portion de crevette;0;1383;V;5000
poisson;1 portion de poisson;0;1169;V;5000
boeuf;1 portion de boeuf;0;0;V;0
frite;1 portion de frites;0;243;V;1000
wangache;1 portion de wangache;0;339;V;0
langueB;1 portion de langue de boeuf;0;1800;V;0
gateauRiz;1 portion gateau de riz;0;10;V;0
viandeNem;1 portion de viande pour nems;0;385;V;0
merguez;1 portion merguez;0;585;V;0
pintade;1 portion de pintade;0;0;V;5000
poulet;1 portion de poulet;0;912;V;0
pouletBi;1 portie de poulet bicyclette;0;981;V;5000
riz;1 portion de riz;0;193;V;1000
rizCant;1 portion de riz cantonais;0;0;V;2000
boyau;1 portion de boyau;0;664;V;5000
spagh;1 portion de spaghettis;0;122;V;1000
painSandw;1 portion de pain sandwich;0;306;V;0
painHamb;1 portion de pain hamburger;0;253;V;0
painChaw;1 portion de pain chawarma;0;149;V;0
viandeChaw;viande pour chawarma;0;500;V;0
fromage;fromage en tranche;0;565;V;0
thon;1 portion de thon;0;434;V;0
maisDoux;1 portion de maïs doux;0;400;V;0
petitPois;1 portion de petit pois;0;575;;0
filetBoeuf;1 portion de filet de boeuf;0;973;V;5000
darnePoisson;darne de poisson;0;1128;V;4000
filetPoisson;filet de poisson;0;0;V;5000
emincePoulet;emincée de poulet;0;0;V;4000
gesier;1 portion de gesier;0;500;V;0
gambas;1 portion de gambas;0;2709;V;12000
viandeBro;1 portion de boeuf pour 1 brochette;0;0;V;0
mais300G;maïs doux, boite de 300g;0;358;V;0
eminceP;un émince de poulet;0;0;V;0
farinePatNoire;1 kg farine pate noire;0;0;;0
langueBoeuf;1 portion de langue de boeuf;0;1356;V;5000
poissonFume;poisson fumé;0;222;V;0
pain;pain pour soupe;0;0;V;500
patRouge;portion de pate rouge;0;0;V;1000
farineRouge;farine pour patte rouge;0;0;;0
attieke;une portion de attieke;0;250;V;1000
pommeKg;pomme en kg;0;0;;0
agbama;une portion de agbama;0;0;V;0
crabe;portion de crabe;0;249;V;0
farinePateBlanc;farine pour pate blanche;0;11;;0
pateRouge;pate rouge;0;0;V;1000
tilapiaG;poisson tilapia;0;1279;V;5000
tilapiaM;poisson tilapia moyen;0;857;V;4000
pouletCuisse;cuisses de poulet ;0;0;V;3000
akassan;akassan;0;100;V;1000
cuisPoulet;cuisse de poulet braisée;0;0;V;4000
piron;plat de piron;0;0;V;1000
saladeFruit;plat salade de fruit;0;0;V;2000
farineBle;farine de blé;0;0;;0
haricotV;haricot vert;0;0;V;1000
sauceBlokoto;sauce de blokoto;0;0;V;5000

DIVERSALCOOL
bols;vodka bols 70cl;0;3330;V;0
boris;vodka boris;0;0;V;0
jelzin;vodka jelzin 70cl;0;0;V;0
savoy;vodka savoy ;0;3042;V;0
stoli;vodka stolichnaya 70cl;0;5997;V;30000
smirnof;vodka smirnof;0;0;V;0
agavita;tequila agavita;0;0;V;0
tBlanc;tequila blanc 70cl;0;4408;V;25000
tChoco;tequila chocolat;0;0;V;25000
pachuca;tequila pachuca 70cl;0;0;V;0
sanjoseS;tequila sanjose silver;0;8500;V;0
stPaul;rhum saint paul 70cl;0;0;V;0
stJamesB;rhum saint james blanc 1L;0;7561;V;30000
stJamesR;rhum saint james rouge 1L;0;7010;V;30000
kamel;rhum kamel 70cl;0;2549;V;0
tripleSec;liqueur triple sec 70cl;0;3060;V;0
ricard;liqueur ricard;0;7978;V;0
suze;liqueur suze;0;6061;V;25000
bottega;liqueur bottega 70cl;0;0;V;0
campari;liqueur campari 1L;0;0;V;30000
baileys;baileys;0;0;V;30000
orangeSec;orange sec ;0;4445;V;0
martiniB;martini blanc 1L;0;6425;V;20000
martiniR;martini rouge;0;5336;V;20000
martiniRo;martini rosé;0;2558;V;0
malibu;malibu;0;4759;V;0
