ARTICLES,baseC1

Wed 08 Jul 2020

CODE,DÉSIGNATION,MIN,STOCK,,PA,PV
choucPoulet,choucouya de poulet,0,,V,387,2500
crabe,portion de crabe,0,0,V,0,0
crepe,un plat de crepe,0,,V,0,1000
crevette,1 portion de crevette,0,0,V,0,0
cuisPoulet,une portion de cuisse de poulet braisée,0,0,V,0,4000
cuissPoulet,cuisse de poulet,0,,V,0,4000
darnePoisson,darne de poisson,0,0,V,0,4000
doubleHamb,double hamburger,0,,V,0,4000
duoBroBoeuf,duo brochette boeuf,0,,V,0,3000
duoBroMerguez,duo brochette merguez,0,,V,0,3000
duoBroPoulet,duo brochette au poulet,0,,V,387,3000
eggCheese,egg cheese burger,0,,V,0,3500
eminceBoeufSc,emince boeuf sauce creme,0,,V,0,5000
eminceP,un émince de poulet,0,0,V,0,0
emincePoul,emincé de poulet,0,,V,387,4000
emincePoule,emincé de poulet,0,,V,387,4000
emincePoulet,emincée de poulet,0,0,V,0,4000
escaloPouletSC,escalope poulet sauce crême,,,V,0,4000
escalopoulet,escalope de poulet,,,V,387,4000
farineBle,farine de blé ,0,0,V,0,0
farinePatNoire,1 kg de farine pour patte noire,0,0,V,0,0
farinePateBlanche,farine pour pate blanche,0,0,V,0,1000
farineRouge,farine pour patte rouge,0,0,V,0,0
filetBoeuf,1 portion de filet de boeuf,0,0,V,0,4000
filetBoeufSauP,filet de boeuf sauce piquante,,,V,0,4000
filetPoisson,filet de poisson,0,0,V,0,4000
filetPoissonSc,filet poisson sauce creme,,,V,0,5000
filetPoissons,plat filet de poisson,0,,V,0,4000
frite,1 portion de frites,0,"2,5",V,100,1000
fromage,fromage en tranche,0,0,V,0,0
gambas,1 portion de gambas,0,0,V,0,0
gateauRiz,1 portion gateau de riz,0,0,V,0,0
gbekuin,légume,0,,V,0,4000
gesier,1 portion de gesier,0,0,V,0,0
hamburger,hamburger,0,,V,50,2000
haricotV,haricot vert,0,0,V,0,1000
langueB,1 portion de langue de boeuf,0,0,V,0,0
langueBoeuf,1 portion de langue de boeuf,0,0,V,0,4000
legumeSaut,1 portion de légume sauté,0,,V,0,1000
mais300G,"maïs doux, boite de 300g",0,0,V,0,0
maisDoux,1 portion de maïs doux,0,0,V,0,0
merguez,1 portion merguez,0,0,V,0,0
miniBroBoeuf,1 plat de 4 mini broch de boeuf,0,,V,0,0
miniBroMergez,mini brochette mergez,0,,V,0,2000
nemBoeuf,1 portion de 4 nems de boeuf,0,,V,0,2000
nemPoulet,nems de poulet,0,,V,387,2000
oeuf,un oeuf,0,0,V,0,0
omelFromage,omelette au fromage,0,,V,0,2500
omelNature,omelette nature,0,,V,0,1500
pain,pain pour soupe,0,0,V,0,500
painChaw,1 portion de pain chawarma,0,8,V,250,0
painHamb,1 portion de pain hamburger,0,0,V,0,0
painSandw,1 portion de pain pour sandwich,0,0,V,0,0
patNoire,1 portion de patte noire,0,,V,0,1000
patRouge,portion de pate rouge,0,0,V,0,1000
patRouges,patte rouge,0,,V,0,1000
pateBlanche,portion de pate blanche,0,,V,0,1000
pateRouge,pate rouge,0,0,V,0,1000
pateRougeB,pate rouge,0,,V,0,1000
petitPois,1 portion de petit pois,0,0,V,0,0
petitPois*,plat de petit pois,0,,V,0,2000
petitPois1,plat petit pois,0,,V,0,1000
pintade,1 portion de pintade,0,0,V,0,4000
piron,plat de piron,0,0,V,0,1000
poisson,1 portion de poisson,0,0,V,0,0
poissonFume,poisson fumé,0,0,V,0,0
pommeKG,pomme en kg,0,0,V,0,0
pommeSaute,portion de pomme,0,,V,0,1000
poulet,1 portion de poulet,0,0,V,0,0
pouletBi,1 portie de poulet bicyclette,0,0,V,0,0
pouletBraise,poulet braisé,0,,V,0,2500
pouletCuisse,cuisses de poulet ,0,0,V,0,3000
purePomme,purée de pomme,0,,V,0,1000
riz,1 portion de riz,0,0,V,0,0
rizCant,1 portion de riz cantonais,0,0,V,0,0
rizCanto,riz cantonais,0,,V,0,1000
rizCantonais,riz cantonai,0,,V,0,10000
saladeAvoCrevette,salade avocat au crevette,0,,V,0,4000
saladeAvoPoulet,salade avocat au poulet,0,,V,387,3000
saladeCompo,salade compose,0,,V,194,6000
saladeCrudite,salade de crudité,0,,V,0,2500
saladeFruit,plat salade de fruit,0,0,V,0,2000
saladeMixte,salade mixte,0,,V,0,3000
saladePoulet,salade au poulet,0,,V,194,3000
saladePouletBi,salade au poulet bicyclette,0,,V,0,4500
saladeTGV,salade tgv,0,,V,194,3000
sandwPoulet,sandwich de poulet,0,,V,194,2000
sandwSteak,sandwich steak,0,,V,0,2500
sandwViande,sandwich avec viande de boeuf,0,,V,0,2000
sandwich,sandwich,0,,V,0,2000
sandwichTGV,sandwich TGV,0,,V,0,2500
sauceArachide,sauce arachide,0,,V,0,5000
sauceBlokoto,sauce de blokoto,0,0,V,0,5000
sauceCreme,sauceCreme,0,,V,387,4000
sauceCrinCrin,sauce crincrin,0,,V,0,5000
sauceGombo,sauce de gombo,0,,V,0,5000
soupeBoyau,soupe de boyau,0,,V,0,5000
soupePoisson,soupe de poisson,0,,V,0,4000
spagBolo,spaghetti bolognaise,0,,V,0,4000
spagh,1 portion de spaghettis,0,0,V,0,1000
steakChamp,steak au champignon,0,,V,0,4000
thon,1 portion de thon,0,0,V,0,0
tilapiaG,poisson tilapia,0,0,V,0,5000
tilapiaM,poisson tilapia moyen,0,0,V,0,4000
trioBroBoeuf,trio brochette de boeuf,0,,V,0,4000
trioBroPoisson,trio brochette de poisson,0,,V,0,7500
trioBroPoulet,trio brochette de poulet,0,,V,580,4000
trioBromerguez,trio brochette de merguez,0,,V,0,4000
viandeBro,1 portion de boeuf pour 1 brochette,0,0,V,0,0
viandeChaw,viande pour chawarma,0,0,V,0,0
viandeH,viande hachée une portion,0,0,V,0,0
viandeNem,1 portion de viande pour nems,0,0,V,0,0
wangache,1 portion de wangache,0,0,V,0,0

DIVERSALCOOL
absenta,absenta,0,0,V,0,0
agavita,tequila agavita,0,0,V,0,0
baileys,baileys,0,0,V,0,0
bols,vodka bols 70cl,0,0,V,0,0
boris,vodka boris,0,0,V,0,0
bottega,liqueur bottega 70cl,0,0,V,0,0
brizL,liqueur marie brizard mp,0,0,V,0,0
campari,liqueur campari 1L,0,0,V,0,0
cointreau,liqueur cointreau,0,0,V,0,0
cointreau350,cointreau 350 cl,0,0,V,0,0
cointreauC,conso cointreau,0,,V,0,2500
diplomatico,rhum diplomatico,0,0,V,0,0
disaronno,disaronno,0,0,V,0,0
droitBouchon,droit de bouchon,0,0,V,0,10000
get27,Get 27,0,0,V,0,0
gordons,bout gordons,0,0,V,0,20000
grants,liqueur grants,0,0,V,0,0
grdMarnier,bout grand marnier,0,0,V,0,0
jelzin,vodka jelzin 70cl,0,0,V,0,0
kamel,rhum kamel 70cl,0,0,V,0,0
litchiL,liqueur litchi,0,0,V,0,0
malibu,malibu,0,0,V,0,0
mangPaL,liqueur mangue passion,0,0,V,0,0
martiniB,martini blanc 1L,0,0,V,0,0
martiniR,martini rouge,0,0,V,0,0
martiniRo,martini rosé,0,0,V,0,0
molinari,bout de molinari,0,0,V,0,25000
orangeSec,orange sec ,0,0,V,0,0
pachuca,tequila pachuca 70cl,0,0,V,0,0
podere,bout de podere,0,0,V,0,25000
ricard,liqueur ricard,0,0,V,0,0
sanjoseS,tequila sanjose silver,0,0,V,0,0
savoy,vodka savoy ,0,0,V,0,0
smirnof,vodka smirnof,0,0,V,0,0
stJamesB,rhum saint james blanc 1L,0,0,V,0,0
stJamesR,rhum saint james rouge 1L,0,0,V,0,0
stPaul,rhum saint paul 70cl,0,0,V,0,0
stoli,vodka stolichnaya 70cl,0,0,V,0,0
sucreCan,bout sucre de canne 0.7L,0,0,V,0,0
suze,liqueur suze,0,0,V,0,0
tBlanc,tequila blanc 70cl,0,0,V,0,0
tBlancC,conso tequila blanco,0,,V,0,2500
tChoco,tequila chocolat,0,0,V,0,0
tElCobrizo,tequila el cobrizo,0,0,V,0,20000
tOnOffHecho,bout tequilla on off hecho 70 cl,0,0,V,0,20000
tripleSec,liqueur triple sec 70cl,0,0,V,0,0
vodkaFili,vodka filirt,0,0,V,0,20000
vodkaKavenina,vodka,0,0,V,0,20000
vodkaPoliakov,vodka poliakov,0,0,V,0,20000
yeniRaki,bout de yeni raki,0,0,V,0,25000

EAU
eau,eau 50cl,0,0,V,0,1000
eau1.5,eau 1.5L,0,0,V,0,2000
eauGaz,eau gazefiee 50cl,0,0,V,0,1000
perrier,perrier 33cl,0,0,V,0,0

GADGETSEVENT
gadget,tshirt,0,0,V,0,5000
gadgetStval,"coffret, coeur petit et grand",0,0,V,0,0

JUS
jAnanas,jus ananas 1L,0,0,V,0,0
jBanane,jus banane 1L,0,0,V,0,0
jGoyave,jus goyave 1L,0,0,V,0,0
jMangue,jus mangue 1L,0,0,V,0,0
jOrange,jus orange 1L,0,0,V,0,0
jPamplem,jus pamplemousse 1L,0,0,V,0,0
jPomme,jus pomme 1L,0,0,V,0,0
jRaisin,jus raisin 1L,0,0,V,0,0
jTamarin25,jus tamarin 25cl,0,0,V,0,0
jus1L,1 L jus,0,0,V,0,0

LAIT
lait,lait 1L,0,0,V,0,0

SIROP
sBanane,sirop banane 1L,0,0,V,0,0
sCanne,sirop de canne,0,0,V,0,0
sCassis,sirop de cassis,0,0,V,0,0
sFraise,sirop fraise 1L,0,0,V,0,0
sGinger1L,sirop gingembre 1 L,0,0,V,0,0
sGrenadine,sirop grenadine 1L,0,0,V,0,0
sMenthe,sirop menthe 1L,0,0,V,0,0
sPamplem,sirop pamplemousse 1L,0,0,V,0,0
sPassion,sirop passion,0,0,V,0,0
sPeche,sirop pêche 1L,0,0,V,0,0
sTamarin,sirop tamarin 1 L,0,0,V,0,0
sTomate,sirop tomate 1L,0,0,V,0,0
sirop1L,bout sirop,0,0,V,0,0
