litchiL;liqueur litchi;3;
malibu;malibu;0,37;
mangPaL;liqueur mangue passion;1;
martiniB;martini blanc 1L;0,08;
martiniR;martini rouge;5,16;
martiniRo;martini rosé;6;
molinari;bout de molinari;0;
orangeSec;orange sec ;3,02;
pachuca;tequila pachuca 70cl;0;
podere;bout de podere;0;
ricard;liqueur ricard;1,7;
sanjoseS;tequila sanjose silver;1;
savoy;vodka savoy ;3;
smirnof;vodka smirnof;0;
stJamesB;rhum saint james blanc 1L;5,14;
stJamesR;rhum saint james rouge 1L;2,05;
stPaul;rhum saint paul 70cl;0;
stoli;vodka stolichnaya 70cl;5,55;
sucreCan;bout sucre de canne 0.7L;15,65;
suze;liqueur suze;1,4;
tBlanc;tequila blanc 70cl;3;
tChoco;tequila chocolat;0;
tElCobrizo;tequila el cobrizo;0;
tOnOffHecho;bout tequ. on off hecho 70 cl;0;
tripleSec;liqueur triple sec 70cl;2,02;
vodkaFili;vodka filirt;3;
vodkaKavenina;vodka;0;
vodkaPoliakov;vodka poliakov;6;
yeniRaki;bout de yeni raki;0;
;;;
EAU;;;
eau;eau 50cl;184;
eau1.5;eau 1.5L;111;
eauGaz;eau gazefiee 50cl;20;
perrier;perrier 33cl;7;
;;;
GADGETSEVENT;;;
gadget;tshirt;0;
gadgetStval;coffret, coeur petit et grand;0;
;;;
JUS;;;
jAnanas;jus ananas 1L;0;
jBanane;jus banane 1L;0;
jGoyave;jus goyave 1L;0;
jMangue;jus mangue 1L;0;
jOrange;jus orange 1L;1;
jPamplem;jus pamplemousse 1L;2;
jPomme;jus pomme 1L;0;
jRaisin;jus raisin 1L;0;
jTamarin25;jus tamarin 25cl;3;
jus1L;1 L jus;117,65;
;;;
LAIT;;;
lait;lait 1L;0;
;;;
SIROP;;;
sBanane;sirop banane 1L;0;
sCanne;sirop de canne;0;
sCassis;sirop de cassis;0;
sFraise;sirop fraise 1L;0;
sGinger1L;sirop gingembre 1 L;56,15;
sGrenadine;sirop grenadine 1L;0;
sMenthe;sirop menthe 1L;0;
sPamplem;sirop pamplemousse 1L;0;
sPassion;sirop passion;0;
sPeche;sirop pêche 1L;0;
sTamarin;sirop tamarin 1 L;0;
sTomate;sirop tomate 1L;0;
sirop1L;bout sirop;0,01;
;;;
SODA;;;
coca;coca 33cl;130;
cocaSS;cannette de coca sans sucre;0;
sprite;sprite;65;
spriteP;sprite plastique 33cl;79,14;
tonic;tonic 33cl;0;
;;;
VERRECASSE;;;
verreBW;verre a bierre ou wisky;0;
verreCV;verre à vin casse;0;
;;;
VINBLANC;;;
baumeB;bout dom baume blanc;3;
chastSauvB;bout chastagnac Sauv. blanc;2;
chretBM;chretienne blanc moelleux;5;
cotLayon;coteaux du Layon;0;
granitierBM;granitier blanc moelleux;0;
haussB;bout haussmann blanc;3;
luisEsB;bout luis esch blanc;0;
marBernB;bout marquis bern blanc;0;
marsanB;bout chat marsan blanc;3;
messidor;messidor;1;
monbazB;bout monbazillac blanc;3;
muscadetAntique;muscadet antiqe;0;
premius;vin blanc Premius;0;
rocheMazB;bout roche mazet blanc;0;
taraniB;bout tarani blanc;0;
taraniBM;tarani blanc Moeulleux;2;
;;;
VINMOUSSEUX;;;
celeneCRBrut;bouteil de vin mouseux;0;
coolR;bouteille de vin mousseux;0;
cremAlsM;bou crément Alsace mousseux;9;
jourSpB;bout journée spéciale blanc;0;
jourSpRo;bout journée spéciale rosée;3;
jpB;bout jp chenet blanc;26;
jpRo;bout jp chenet rosé;2;
jpRo1.5;jp chenet rosé 1.5 L;0;
martiPeRo;bout martini pétillant rosé;2;
musca;bout muscador mousseux;0;
prosecco;bouteil de vin mousseux;0;
;;;
VINROSÉ;;;
bePink;cannette de vin rosé Be Pink;0;
calend;bout les calendières vin rosé;0;
chastSyRo;bout chastagnac syrah rosé;0;
haussSyRo;haussmann Syrah Rosé;3;
monsBordRo;monsieur Bordeaux rosé;1;
rocheMazRo;bout roche mazet rosé;0;
taraniRo;bout tarani rosé;7;
;;;
VINROUGE;;;
alexanderGreat;vin rouge alexander the great;2;
armEmil;bout A-R st emilion rouge;0;
balast;bout haut balastard rouge;3;
baumeR;bout domaine de la baume rouge;0;
bordEru;bout bordeaux sup eru rouge;3;
bouey;bout maison bouey rouge;4;
cadiot;cadiot 2016;2;
calvetRes;bout calvet grde reserve rouge;3;
carilloR;bouteille de vin rouge carillonade;0;
chastMerl;chastagnac merlot;1;
chastR;chastagnac  cabernet sauvignon;0;
chatBelAir;chateau Bel Air;0;
chatCol;bout chateau colombier rouge;3;
chatFer;bout chateau ferrande rouge;0;
chatFerboy;chateau Ferboy;0;
chatGrandJardin;vin rouge chat grand jardin;0;
chatHautRoulet;chateau Haut Roulet;0;
chatMarl;bouteille chateau marlene;9;
chatMartin;bout chateau martin rouge;0;
chatMoinesMen;chateau moines menodin;3;
chateauLary;chateau lary;0;
chevalierLand;chevalier Landerac bx sup;13;
chretMerl;bout chretienne merlot rouge;3;
chretR;bout chretienne rouge;96,75;
fiolePap;bout fiole pape rouge;1;
gPalais;bout grand palais rouge;3;
gPuch;bout grand puch rouge;3;
grandNoir;bout le grd noir ;3;
hMedoc;bout le haut medoc rouge;0;
haussCabS;haussmann cabernet sauvignon;3;
haussCabSauv;haussmann cabernet sauvignon;1;
haussMerl;haussmann merlot rouge;3;
haussR;bout haussmann rouge;0;
leBellevue;Le Belleue;0;
loireMarchaisCa;Cabernet Loire Marchais;0;
