poisson,1169,129.0
boeuf,0.0,-1.0
frite,243,485.5
wangache,339,46.0
langueB,1800.0,3.0
gateauRiz,10.0,3.0
viandeNem,385,44.0
merguez,585,209.0
pintade,2050.0,0.0
poulet,912,73.0
pouletBi,981,167.0
riz,193,250.0
rizCant,0.0,-1.0
boyau,664,97.0
spagh,122,22.25
painSandw,306,10.0
painHamb,253,29.0
painChaw,149,53.0
viandeChaw,500.0,3.0
fromage,565,3.0
thon,434,10.0
maisDoux,400.0,3.0
petitPois,575,9.0
filetBoeuf,973,123.5
darnePoisson,1127.5,57.0
filetPoisson,1657.0,-3.0
emincePoulet,700.0,0.0
gordons,11095,4.799999999999997
gesier,500.0,1.0
gambas,2709,12.0
viandeBro,0.0,1.0
lipton,48,253.0
mais300G,358,25.5
eminceP,700.0,0.0
sucreCan,1796,16.170000000000016
jus1L,859,124.15000000000002
jusCaraf,0.0,1.0
sirop1L,2392,0.21000000000000066
théCitron,0.0,-3.0
farinePatNoire,293.0,-22.0
podere,0.0,2.0
molinari,6500.0,0.0
yeniRaki,0.0,2.0
langueBoeuf,1356,47.0
cappuccino,315,10.0
laitCoco,1200.0,1.0
grdMarnier,14211,0.020000000000000018
granitierBM,3040.0,0.0
chastR,4749.0,0.0
chastMerl,3040.0,1.0
trouillard,20000.0,1.0
verreMousCC,0.0,-1.0
poissonFume,222,54.0
haussMerl,4267.0,3.0
haussCabS,3583.0,3.0
pain,0.0,3.0
attieke,250.0,2.0
pommeKG,450.0,-14.0
jbRes,20000.0,2.0
agbama,196.0,-2.0
fereix,8508.0,0.0
picnicR,2708.0,0.0
alexanderGreat,3667.0,2.0
crabe,249,94.0
gadgetStval,0.0,3.0
chatFerboy,4000.0,-1.0
seigneurieEnclos,5917.0,1.0
cadiot,6917.0,2.0
leBellevue,3167.0,-2.0
loireMarchaisCab,3167.0,0.0
cotLayon,6750.0,0.0
muscadetAntique,4250.0,0.0
messidor,5917.0,1.0
bePink,997.0,0.0
farinePateBlanche,250.0,22.0
chretBM,3325.0,5.0
tilapiaG,1279.0,1.0
tilapiaM,857.0,3.0
pouletCuisse,900.0,-1.0
redLab75,5742,15.159999999999998
vodkaPoliakov,2667,7.0
affinity,9000.0,-1.0
cointreau350,16668.0,3.0
akassan,100.0,3.0
cuisPoulet,1100.0,0.0
piron,0.0,3.0
saladeFruit,0.0,1.0
tOnOffHecho,4400.0,0.0
chevalierLand,4845,13.0
puissantEleg,3183.0,3.0
gadget,0.0,3.0
vodkaKavenina,2827.0,0.0
monsBordRo,5250.0,1.0
moetNectar,39262.0,1.0
camusVSOP,22950.0,3.0
lucBelFantome,24300.0,2.0
taraniBM,3753.0,2.0
tElCobrizo,4000.0,-0.6000000000000003
grimbergen,823.0,1.0
droitBouchon,0.0,3.0
speedEnergy,312.5,41.0
moetNect,36000.0,1.0
moetNectRo,41850.0,3.0
monsBordSup,6675.0,3.0
chatMoinesMen,3750.0,3.0
farineBle,157.0,-1.0
haussSyRo,2965.0,3.0
haussCabSauv,2965.0,1.0
haricotV,0.0,3.0
vodkaFili,3450.0,3.0
verreCV,0.0,3.0
BlackColaEnergy,354.0,0.0
chatGrandJardin,4083.0,0.0
glenB12L,35000.0,3.0
chatMarl,3300,12.0
